Orthogroup	P_troglodytes.pep	P_Mucros.pep
OG0000943	ENSPTRG00000020193.5	XP_015673447.1
OG0000943	ENSPTRG00000045507.1	XP_015671775.1
OG0000944	ENSPTRG00000019798.2, ENSPTRG00000051739.1, ENSPTRG00000022570.5	XP_015670836.1, XP_015670835.1
OG0000945	ENSPTRG00000020852.7	XP_015669308.1
OG0000945	ENSPTRG00000007338.6	XP_015671820.1
OG0000946	ENSPTRG00000001805.5, ENSPTRG00000001799.7	XP_015683712.2, XP_015683529.1, XP_029142120.1, XP_029142225.1
OG0000947	ENSPTRG00000010354.6	XP_015682403.1
OG0000947	ENSPTRG00000007337.4	XP_029140037.1, XP_015671859.1
OG0000948	ENSPTRG00000004098.6	XP_029142671.1
OG0000948	ENSPTRG00000012431.6	XP_029141653.1
OG0000949	ENSPTRG00000003846.6	XP_015677859.1, XP_029141177.1
OG0000951	ENSPTRG00000044588.1, ENSPTRG00000043554.1, ENSPTRG00000045057.1, ENSPTRG00000043922.1, ENSPTRG00000018996.4, ENSPTRG00000048545.1	XP_015666069.1
OG0000952	ENSPTRG00000017746.5	XP_015670172.1, XP_015670171.1
OG0000952	ENSPTRG00000006207.6	XP_029140952.1
OG0000953	ENSPTRG00000012074.7	XP_015666588.1
OG0000953	ENSPTRG00000016139.4	XP_015674101.1
OG0000954	ENSPTRG00000044969.1	XP_015669761.2
OG0000955	ENSPTRG00000008661.7, ENSPTRG00000008659.5, ENSPTRG00000008662.3	XP_029142571.1, XP_029142996.1, XP_015684904.1
OG0000956	ENSPTRG00000020337.6	XP_015674597.1, XP_015674596.1
OG0000956	ENSPTRG00000018619.7	XP_015670384.1
OG0000957	ENSPTRG00000009560.5	XP_015672215.1, XP_015665817.1
OG0000957	ENSPTRG00000050081.1	XP_015672448.1
OG0000958	ENSPTRG00000007426.6	XP_015683178.1
OG0000958	ENSPTRG00000017057.4	XP_015688043.1
OG0000959	ENSPTRG00000016880.6	XP_015679746.1, XP_015679747.1
OG0000959	ENSPTRG00000010141.5	XP_015680125.1
OG0000960	ENSPTRG00000052506.1, ENSPTRG00000047527.1, ENSPTRG00000043858.1, ENSPTRG00000050791.1, ENSPTRG00000048434.1, ENSPTRG00000046906.1, ENSPTRG00000046748.1, ENSPTRG00000049954.1	XP_015680880.1, XP_015680881.1
OG0000961	ENSPTRG00000018511.7	XP_015671118.1
OG0000961	ENSPTRG00000048728.1, ENSPTRG00000000411.5	XP_015670658.1
OG0000962	ENSPTRG00000006191.3	XP_015677722.1, XP_015677721.2
OG0000962	ENSPTRG00000013664.4	XP_015676694.1
OG0000963	ENSPTRG00000045845.1, ENSPTRG00000013661.6	XP_015680911.1
OG0000963	ENSPTRG00000017749.7	XP_015676004.1
OG0000964	ENSPTRG00000050440.1	XP_015677394.1
OG0000964	ENSPTRG00000004919.5	XP_015677399.1
OG0000965	ENSPTRG00000001756.4	XP_015668614.1
OG0000965	ENSPTRG00000001609.6	XP_015687495.1
OG0000966	ENSPTRG00000029870.4	XP_015675944.1
OG0000966	ENSPTRG00000020156.5	XP_015675243.1
OG0000967	ENSPTRG00000016987.4	XP_015675637.1
OG0000967	ENSPTRG00000007415.5	XP_015667650.1
OG0000968	ENSPTRG00000019423.4	XP_015667072.2
OG0000968	ENSPTRG00000012636.7	XP_015667350.1
OG0000969	ENSPTRG00000008277.6	XP_015666928.1
OG0000969	ENSPTRG00000010083.4	XP_015667000.1
OG0000970	ENSPTRG00000010220.5	XP_015665510.1
OG0000970	ENSPTRG00000046874.1	XP_015668050.1
OG0000971	ENSPTRG00000042875.1	XP_029142782.1
OG0000971	ENSPTRG00000046925.1	XP_015669715.1
OG0000972	ENSPTRG00000007529.6	XP_015667448.1
OG0000973	ENSPTRG00000046375.1	XP_029139630.1
OG0000974	ENSPTRG00000004520.6	XP_015682635.1, XP_015679226.1
OG0000975	ENSPTRG00000010405.4	XP_015673801.1, XP_015673800.1
OG0000975	ENSPTRG00000000962.6	XP_029140536.1
OG0000976	ENSPTRG00000052325.1	XP_015674680.2, XP_015674682.1
OG0000976	ENSPTRG00000009808.5	XP_015678263.1
OG0000977	ENSPTRG00000012541.7	XP_015675803.1
OG0000977	ENSPTRG00000004913.7	XP_015670230.1
OG0000979	ENSPTRG00000012593.6	XP_015679122.1
OG0000979	ENSPTRG00000004956.5	XP_015676648.1
OG0000980	ENSPTRG00000047495.1, ENSPTRG00000051087.1, ENSPTRG00000042397.2, ENSPTRG00000048264.1, ENSPTRG00000047083.1	XP_015670924.1
OG0000981	ENSPTRG00000013527.5	XP_015681151.1
OG0000981	ENSPTRG00000048938.1	XP_015675656.1, XP_015686633.1
OG0000982	ENSPTRG00000050961.1	XP_015681329.1
OG0000982	ENSPTRG00000050583.1, ENSPTRG00000046292.1	XP_015680763.1
OG0000983	ENSPTRG00000049156.1, ENSPTRG00000028250.5	XP_015666262.2, XP_029138941.1, XP_029138942.1
OG0000984	ENSPTRG00000050627.1, ENSPTRG00000050794.1, ENSPTRG00000040949.2, ENSPTRG00000010813.6	XP_015667572.1
OG0000985	ENSPTRG00000020848.6, ENSPTRG00000044784.1	XP_015687897.1
OG0000986	ENSPTRG00000014058.7	XP_029141108.1
OG0000987	ENSPTRG00000007611.6	XP_015677134.1
OG0000987	ENSPTRG00000007560.6	XP_015677137.1
OG0000988	ENSPTRG00000018960.6	XP_015666298.1
OG0000989	ENSPTRG00000001218.6	XP_015685925.1
OG0000989	ENSPTRG00000005520.4	XP_015672957.1
OG0000990	ENSPTRG00000003681.5	XP_015680500.1
OG0000991	ENSPTRG00000020389.5	XP_015679153.1, XP_015686335.1
OG0000991	ENSPTRG00000052102.1	XP_015679151.1
OG0000992	ENSPTRG00000019540.5, ENSPTRG00000049099.1	XP_015682393.1
OG0000992	ENSPTRG00000005481.6	XP_015681813.1
OG0000993	ENSPTRG00000015984.6	XP_015678352.1
OG0000994	ENSPTRG00000010335.5, ENSPTRG00000010334.7	XP_029142338.1, XP_029142602.1
OG0000995	ENSPTRG00000015979.5	XP_015683244.2, XP_015682322.2
OG0000995	ENSPTRG00000004064.4	XP_015670963.1
OG0000996	ENSPTRG00000018566.4	XP_015674897.1
OG0000996	ENSPTRG00000020288.5	XP_015678847.1
OG0000997	ENSPTRG00000017977.6	XP_015677927.1
OG0000998	ENSPTRG00000007982.7	XP_015675752.1, XP_029138904.1
OG0000998	ENSPTRG00000008508.6	XP_015684160.1, XP_015685600.1
OG0000999	ENSPTRG00000006398.6	XP_015679314.1, XP_015679315.1, XP_015679313.1
OG0000999	ENSPTRG00000018139.6	XP_015675112.1
OG0001000	ENSPTRG00000016371.6	XP_015679385.1, XP_015679384.1
OG0001000	ENSPTRG00000002886.2	XP_015685019.1, XP_015685263.1
OG0001001	ENSPTRG00000046207.1, ENSPTRG00000022049.2, ENSPTRG00000016027.6	XP_015668208.1
OG0001002	ENSPTRG00000045834.1, ENSPTRG00000044064.1, ENSPTRG00000007246.6, ENSPTRG00000044272.1	XP_015682763.1, XP_015682762.1
OG0001003	ENSPTRG00000024042.5	XP_015681740.1
OG0001003	ENSPTRG00000044305.1	XP_015687197.1
OG0001004	ENSPTRG00000013682.7	XP_015672241.1, XP_015685912.1, XP_015679455.1
OG0001005	ENSPTRG00000012564.4	XP_015670215.1, XP_015670212.1, XP_015670213.1, XP_015670214.1
OG0001006	ENSPTRG00000005402.6	XP_015670922.1
OG0001006	ENSPTRG00000008639.5	XP_015678291.1
OG0001007	ENSPTRG00000009122.7	XP_015687762.1
OG0001007	ENSPTRG00000014699.4	XP_015683435.1, XP_015667191.1
OG0001008	ENSPTRG00000001023.6	XP_029142437.1, XP_029142423.1
OG0001008	ENSPTRG00000021493.6	XP_029141110.1
OG0001009	ENSPTRG00000010393.6	XP_015671077.2
OG0001009	ENSPTRG00000021602.6	XP_029142695.1, XP_015684215.1
OG0001010	ENSPTRG00000012556.5	XP_029140788.1
OG0001010	ENSPTRG00000019177.6, ENSPTRG00000045643.1	XP_015684686.1
OG0001011	ENSPTRG00000046242.1	XP_015688037.1, XP_029138784.1
OG0001012	ENSPTRG00000005645.6, ENSPTRG00000005644.7	XP_029142536.1
OG0001013	ENSPTRG00000019905.5	XP_015688012.1
OG0001013	ENSPTRG00000012395.6	XP_015675769.1, XP_015675768.1
OG0001014	ENSPTRG00000019911.6	XP_029141755.1, XP_029138785.1
OG0001015	ENSPTRG00000052040.1	XP_015679697.1
OG0001015	ENSPTRG00000045665.1	XP_015669312.1
OG0001016	ENSPTRG00000042827.1	XP_015669029.2
OG0001016	ENSPTRG00000051971.1, ENSPTRG00000006339.4	XP_015674493.1
OG0001017	ENSPTRG00000001546.4, ENSPTRG00000021759.4, ENSPTRG00000041198.2	XP_015683061.1
OG0001018	ENSPTRG00000000564.6	XP_029139118.1
OG0001018	ENSPTRG00000018420.5	XP_029141827.1, XP_015681002.1
OG0001019	ENSPTRG00000002355.5	XP_015667052.1
OG0001019	ENSPTRG00000009076.7	XP_015670248.1
OG0001020	ENSPTRG00000015340.5	XP_015687035.1, XP_015672346.1
OG0001020	ENSPTRG00000042092.2, ENSPTRG00000047776.1, ENSPTRG00000019711.4	XP_015683895.1
OG0001021	ENSPTRG00000010429.6	XP_015665427.1
OG0001022	ENSPTRG00000007249.6	XP_015684827.1
OG0001022	ENSPTRG00000016988.4	XP_015675625.1
OG0001023	ENSPTRG00000013773.7	XP_015681240.1
OG0001023	ENSPTRG00000020242.6	XP_015678190.1, XP_015678188.1
OG0001024	ENSPTRG00000052299.1	XP_029141098.1
OG0001025	ENSPTRG00000051100.1	XP_015675673.1
OG0001025	ENSPTRG00000006021.6	XP_015667302.1
OG0001026	ENSPTRG00000007482.6	XP_015677848.1
OG0001026	ENSPTRG00000017081.6	XP_015668173.1, XP_015668174.1
OG0001027	ENSPTRG00000005147.7	XP_015676040.1
OG0001027	ENSPTRG00000019400.6	XP_015667056.1
OG0001028	ENSPTRG00000022494.7, ENSPTRG00000021635.6	XP_015676794.1
OG0001028	ENSPTRG00000024345.5	XP_015680354.1
OG0001029	ENSPTRG00000041141.2	XP_015666418.1, XP_015665713.1
OG0001030	ENSPTRG00000051746.1	XP_015669837.1, XP_029142550.1
OG0001030	ENSPTRG00000011496.6	XP_029138846.1, XP_015665716.1
OG0001031	ENSPTRG00000013065.4	XP_015679702.1
OG0001031	ENSPTRG00000052279.1, ENSPTRG00000048701.1, ENSPTRG00000043505.1	XP_015667321.1
OG0001032	ENSPTRG00000011444.5, ENSPTRG00000046717.1	XP_015679147.1, XP_015666430.1
OG0001033	ENSPTRG00000033703.3, ENSPTRG00000046112.1	XP_015665808.1, XP_015665807.1
OG0001034	ENSPTRG00000015031.6	XP_015673651.1
OG0001034	ENSPTRG00000004521.7	XP_015677113.1, XP_029141462.1
OG0001035	ENSPTRG00000015507.4	XP_015668432.1
OG0001035	ENSPTRG00000015505.3	XP_015668440.1
OG0001036	ENSPTRG00000000970.6	XP_015684705.1
OG0001036	ENSPTRG00000021468.6	XP_015675828.1
OG0001037	ENSPTRG00000050663.1	XP_015668550.1, XP_015683227.1
OG0001038	ENSPTRG00000005396.6	XP_015668326.1
OG0001038	ENSPTRG00000003537.6	XP_015674932.2
OG0001039	ENSPTRG00000021197.5	XP_015683029.1
OG0001039	ENSPTRG00000000993.4	XP_015673358.1
OG0001040	ENSPTRG00000020999.5	XP_015673513.1
OG0001040	ENSPTRG00000000820.6	XP_015671022.1, XP_015671021.1
OG0001041	ENSPTRG00000004730.3	XP_015669935.1
OG0001041	ENSPTRG00000045047.1	XP_015670817.1
OG0001042	ENSPTRG00000019722.6	XP_015669929.1
OG0001042	ENSPTRG00000003574.6	XP_015670676.2
OG0001043	ENSPTRG00000019598.7	XP_015669522.1
OG0001043	ENSPTRG00000014969.5	XP_015669606.1
OG0001044	ENSPTRG00000003987.6	XP_015672416.1, XP_015672417.1, XP_015672418.1
OG0001045	ENSPTRG00000045535.1, ENSPTRG00000046501.1, ENSPTRG00000049437.1, ENSPTRG00000049720.1	XP_015671043.1, XP_015671044.1, XP_015671042.1
OG0001046	ENSPTRG00000001124.5	XP_015675422.1
OG0001046	ENSPTRG00000019338.5	XP_015684757.1, XP_015683137.1
OG0001047	ENSPTRG00000004781.6	XP_029141909.1
OG0001047	ENSPTRG00000014570.7	XP_015678069.1, XP_029141235.1, XP_029141236.1
OG0001048	ENSPTRG00000014948.4	XP_015680242.1
OG0001048	ENSPTRG00000019348.5	XP_015679503.1
OG0001049	ENSPTRG00000049651.1, ENSPTRG00000022488.6	XP_015670387.1, XP_015670389.1, XP_015670390.1
OG0001051	ENSPTRG00000004159.6, ENSPTRG00000051689.1	XP_015680367.1
OG0001051	ENSPTRG00000004163.6	XP_015680366.1
OG0001052	ENSPTRG00000018685.5	XP_015681368.1
OG0001053	ENSPTRG00000021263.7	XP_015674694.1
OG0001053	ENSPTRG00000010165.6	XP_015665487.1
OG0001054	ENSPTRG00000050585.1, ENSPTRG00000049858.1, ENSPTRG00000044328.1	XP_015671898.1
OG0001054	ENSPTRG00000006424.3	XP_015681829.1
OG0001055	ENSPTRG00000005118.5	XP_015672626.1
OG0001055	ENSPTRG00000023453.5	XP_015685819.1, XP_015673416.1, XP_015673415.1
OG0001056	ENSPTRG00000006648.7	XP_015682226.1, XP_015682240.1, XP_015682248.1, XP_015686573.1
OG0001057	ENSPTRG00000006627.6	XP_015680387.1
OG0001057	ENSPTRG00000011899.6	XP_015671890.1
OG0001058	ENSPTRG00000006609.6	XP_015679772.1, XP_015679771.1
OG0001058	ENSPTRG00000034390.3	XP_015686796.1
OG0001059	ENSPTRG00000004927.6	XP_015687340.1
OG0001059	ENSPTRG00000012603.6	XP_015671884.1
OG0001060	ENSPTRG00000018191.6, ENSPTRG00000018185.4	XP_029140060.1, XP_015666773.1
OG0001062	ENSPTRG00000045997.1, ENSPTRG00000044836.1, ENSPTRG00000045158.1, ENSPTRG00000042453.2, ENSPTRG00000043304.1, ENSPTRG00000044494.1	XP_029141171.1
OG0001064	ENSPTRG00000016723.4, ENSPTRG00000032460.4, ENSPTRG00000046948.1, ENSPTRG00000048321.1, ENSPTRG00000032461.4	XP_015682189.2
OG0001069	ENSPTRG00000003950.4	XP_015681489.1
OG0001072	ENSPTRG00000003645.5	XP_015677244.1, XP_015677250.1, XP_015677246.1, XP_015677248.1, XP_015677249.1, XP_015677245.1, XP_015677253.1, XP_015677252.1, XP_015677251.1, XP_015677254.1, XP_015677261.1, XP_015677243.1, XP_015677260.1
OG0001082	ENSPTRG00000004056.6	XP_015670954.1
OG0001082	ENSPTRG00000004055.4	XP_015670985.1
OG0001083	ENSPTRG00000022182.5	XP_015683893.1
OG0001083	ENSPTRG00000012437.4	XP_015671682.1
OG0001084	ENSPTRG00000013198.7	XP_015683782.1
OG0001084	ENSPTRG00000002965.6	XP_015671302.1, XP_015685834.1
OG0001085	ENSPTRG00000052213.1	XP_029140907.1, XP_029139284.1
OG0001086	ENSPTRG00000016761.5	XP_015667005.1, XP_015667004.1
OG0001086	ENSPTRG00000016758.4	XP_015666270.1
OG0001087	ENSPTRG00000007980.4	XP_015683675.1, XP_015666036.1
OG0001087	ENSPTRG00000034564.3	XP_015683986.1
OG0001088	ENSPTRG00000044029.1	XP_015686180.1, XP_015679200.1
OG0001088	ENSPTRG00000052802.1, ENSPTRG00000001261.7	XP_015677534.1
OG0001089	ENSPTRG00000017044.5	XP_029139737.1
OG0001089	ENSPTRG00000007353.6	XP_015667417.1
OG0001090	ENSPTRG00000021022.6	XP_015672175.1
OG0001090	ENSPTRG00000013178.5	XP_029141288.1
OG0001091	ENSPTRG00000011681.7	XP_015668543.1
OG0001091	ENSPTRG00000000575.2	XP_015667167.1
OG0001092	ENSPTRG00000011147.4	XP_015676139.1
OG0001092	ENSPTRG00000006756.3	XP_015668719.1
OG0001093	ENSPTRG00000012038.6	XP_015683866.1, XP_015684237.1
OG0001093	ENSPTRG00000020040.3	XP_015682310.1
OG0001094	ENSPTRG00000010877.5	XP_015684238.1
OG0001094	ENSPTRG00000010959.6	XP_029140812.1
OG0001095	ENSPTRG00000010175.4	XP_029139467.1
OG0001095	ENSPTRG00000023608.4	XP_015685976.1, XP_015685349.1
OG0001096	ENSPTRG00000013321.6	XP_015671459.1
OG0001096	ENSPTRG00000011211.4	XP_015678557.1
OG0001097	ENSPTRG00000007707.6	XP_015667480.1
OG0001097	ENSPTRG00000007643.6	XP_015667481.1
OG0001098	ENSPTRG00000021489.7	XP_015675489.1, XP_015675490.1
OG0001100	ENSPTRG00000016220.6	XP_015687842.1
OG0001100	ENSPTRG00000002847.3, ENSPTRG00000044815.1	XP_015677596.1
OG0001101	ENSPTRG00000016312.4	XP_015683765.1
OG0001101	ENSPTRG00000019153.6, ENSPTRG00000047276.1	XP_015671994.1
OG0001102	ENSPTRG00000015924.5	XP_015677539.1
OG0001102	ENSPTRG00000002753.5	XP_015666254.1
OG0001103	ENSPTRG00000017942.7	XP_029140941.1, XP_015676745.1, XP_015676744.1, XP_015676746.1
OG0001104	ENSPTRG00000007112.7	XP_029138984.1
OG0001105	ENSPTRG00000042883.1	XP_029138936.1
OG0001105	ENSPTRG00000005743.6	XP_029141377.1
OG0001106	ENSPTRG00000004419.6	XP_015668992.1
OG0001107	ENSPTRG00000018558.4	XP_015684579.1
OG0001107	ENSPTRG00000024134.6	XP_015669520.1
OG0001108	ENSPTRG00000018390.7	XP_015674551.1
OG0001108	ENSPTRG00000001172.7	XP_015669523.1
OG0001109	ENSPTRG00000020792.5	XP_015676240.1
OG0001110	ENSPTRG00000046320.1	XP_015673732.1
OG0001110	ENSPTRG00000013642.5	XP_015676565.1
OG0001111	ENSPTRG00000031311.4	XP_029143091.1
OG0001112	ENSPTRG00000009552.7	XP_015665851.1
OG0001112	ENSPTRG00000007536.6	XP_029139187.1
OG0001113	ENSPTRG00000013371.6	XP_015684346.1
OG0001113	ENSPTRG00000020263.6	XP_015667850.1, XP_015667851.1
OG0001114	ENSPTRG00000049291.1	XP_015670511.1
OG0001114	ENSPTRG00000034127.3	XP_015670512.1
OG0001115	ENSPTRG00000021124.3	XP_015673141.1
OG0001115	ENSPTRG00000004511.4	XP_015669663.1
OG0001116	ENSPTRG00000033921.3	XP_015677197.1
OG0001116	ENSPTRG00000006879.7	XP_015677305.1
OG0001117	ENSPTRG00000001818.7	XP_015679380.1
OG0001117	ENSPTRG00000021357.6	XP_015685803.1
OG0001118	ENSPTRG00000013220.6	XP_015666992.1
OG0001118	ENSPTRG00000017297.6	XP_015674188.1
OG0001119	ENSPTRG00000003828.5	XP_015683916.1, XP_015685580.1
OG0001120	ENSPTRG00000018023.5	XP_015681580.1
OG0001121	ENSPTRG00000006418.3	XP_015675380.1
OG0001121	ENSPTRG00000011890.6	XP_015671901.1
OG0001123	ENSPTRG00000049394.1	XP_015675386.1
OG0001123	ENSPTRG00000011888.5	XP_015673018.1
OG0001124	ENSPTRG00000017550.6	XP_015680337.1
OG0001124	ENSPTRG00000002864.5	XP_015668919.1
OG0001125	ENSPTRG00000010324.7	XP_015682797.2, XP_015686306.1, XP_015682801.1, XP_015676568.1
OG0001126	ENSPTRG00000007022.6	XP_029141363.1
OG0001127	ENSPTRG00000022950.4	XP_015675938.1
OG0001127	ENSPTRG00000023267.3	XP_015684663.1
OG0001128	ENSPTRG00000017444.6	XP_015675405.1
OG0001128	ENSPTRG00000016595.3	XP_015679766.1
OG0001129	ENSPTRG00000018038.6	XP_029142487.1, XP_015683832.1, XP_015684895.1, XP_015684894.1
OG0001130	ENSPTRG00000021731.6	XP_015669912.1, XP_029139685.1, XP_029139686.1, XP_015669911.1
OG0001131	ENSPTRG00000009179.5	XP_029143195.1
OG0001131	ENSPTRG00000014728.6	XP_015678261.1
OG0001132	ENSPTRG00000011724.6	XP_029139901.1
OG0001133	ENSPTRG00000020158.7	XP_015685862.1, XP_015675240.1
OG0001133	ENSPTRG00000002841.5	XP_015665448.2
OG0001134	ENSPTRG00000016522.6	XP_015681138.1
OG0001134	ENSPTRG00000003290.6	XP_015672793.1
OG0001135	ENSPTRG00000029684.4	XP_015672731.1
OG0001135	ENSPTRG00000020172.6	XP_015680182.2
OG0001136	ENSPTRG00000049876.1	XP_015687793.1
OG0001136	ENSPTRG00000016472.4	XP_029140934.1
OG0001137	ENSPTRG00000015857.4, ENSPTRG00000046138.1	XP_029142401.1
OG0001137	ENSPTRG00000017583.4	XP_029140765.1
OG0001138	ENSPTRG00000004871.7	XP_015672611.1
OG0001138	ENSPTRG00000012728.7	XP_015672533.1
OG0001139	ENSPTRG00000010479.5	XP_015669438.1
OG0001139	ENSPTRG00000000869.6	XP_015668702.2
OG0001140	ENSPTRG00000016300.3	XP_015672887.1, XP_029140263.1
OG0001140	ENSPTRG00000017568.6	XP_015679756.1
OG0001141	ENSPTRG00000030549.5	XP_029141349.1, XP_029141350.1
OG0001141	ENSPTRG00000010583.5	XP_015675603.1
OG0001142	ENSPTRG00000010825.4	XP_015671570.1
OG0001142	ENSPTRG00000004408.6	XP_015670345.2
OG0001143	ENSPTRG00000047731.1, ENSPTRG00000016972.5	XP_015674918.1
OG0001143	ENSPTRG00000010535.6	XP_015670813.1
OG0001144	ENSPTRG00000014879.5	XP_029142722.1, XP_029142636.1
OG0001144	ENSPTRG00000013206.7	XP_015682728.1
OG0001145	ENSPTRG00000014360.5	XP_015672767.1
OG0001145	ENSPTRG00000009795.6	XP_015673014.1
OG0001146	ENSPTRG00000005044.7	XP_015674901.1
OG0001146	ENSPTRG00000012705.4	XP_015677229.1, XP_015677230.1
OG0001147	ENSPTRG00000014516.7	XP_015678985.1
OG0001147	ENSPTRG00000018120.6	XP_015668086.1
OG0001148	ENSPTRG00000011643.6	XP_015675740.1, XP_015675741.1
OG0001148	ENSPTRG00000020479.5	XP_015687354.1
OG0001149	ENSPTRG00000020200.6	XP_015672026.1
OG0001149	ENSPTRG00000024118.4	XP_015671943.1
OG0001150	ENSPTRG00000001581.3	XP_015676997.1
OG0001150	ENSPTRG00000048169.1, ENSPTRG00000040085.2, ENSPTRG00000011126.4, ENSPTRG00000046405.1	XP_015675767.1
OG0001151	ENSPTRG00000022082.6	XP_029141676.1
OG0001151	ENSPTRG00000005916.6	XP_029139273.1
OG0001152	ENSPTRG00000002907.4	XP_015675275.1
OG0001152	ENSPTRG00000020087.6	XP_029142824.1
OG0001153	ENSPTRG00000013331.5, ENSPTRG00000048469.1, ENSPTRG00000052675.1, ENSPTRG00000051615.1, ENSPTRG00000014177.7	XP_015674104.1
OG0001154	ENSPTRG00000044713.1	XP_015672945.1
OG0001154	ENSPTRG00000007080.5	XP_015679191.2
OG0001155	ENSPTRG00000005546.5	XP_015678521.1
OG0001155	ENSPTRG00000008921.5	XP_029142745.1, XP_029142793.1
OG0001156	ENSPTRG00000022006.6	XP_015687983.1
OG0001156	ENSPTRG00000015534.7	XP_029139640.1
OG0001157	ENSPTRG00000043320.1	XP_015666579.1
OG0001157	ENSPTRG00000044619.1	XP_015683586.1
OG0001158	ENSPTRG00000007577.3	XP_015682415.2
OG0001158	ENSPTRG00000044104.1	XP_015676758.1, XP_015687491.1
OG0001159	ENSPTRG00000020462.6	XP_029139469.1
OG0001159	ENSPTRG00000013533.6	XP_015671848.1
OG0001160	ENSPTRG00000010455.5	XP_015667011.1, XP_015667012.1, XP_015678742.1, XP_015687682.1
OG0001161	ENSPTRG00000020393.4	XP_015668580.1
OG0001161	ENSPTRG00000008231.6	XP_015667669.1
OG0001162	ENSPTRG00000013922.5	XP_029140971.1
OG0001162	ENSPTRG00000004326.3	XP_029139345.1
OG0001163	ENSPTRG00000051530.1	XP_015667039.1
OG0001163	ENSPTRG00000047749.1	XP_015678623.1
OG0001164	ENSPTRG00000022164.7	XP_015687968.1
OG0001165	ENSPTRG00000008873.6	XP_029142388.1
OG0001166	ENSPTRG00000020320.3	XP_015682160.1
OG0001166	ENSPTRG00000013597.6	XP_015678282.1
OG0001167	ENSPTRG00000015818.6	XP_015676366.1
OG0001167	ENSPTRG00000043485.1	XP_015672368.1
OG0001168	ENSPTRG00000012754.6	XP_015673420.1
OG0001168	ENSPTRG00000050931.1	XP_015678402.1
OG0001169	ENSPTRG00000015370.5	XP_015677627.1, XP_015684269.1
OG0001170	ENSPTRG00000022050.7	XP_029139313.1
OG0001170	ENSPTRG00000005897.7	XP_029142047.1
OG0001171	ENSPTRG00000009939.5	XP_015674724.1
OG0001171	ENSPTRG00000013693.5	XP_015676546.1
OG0001172	ENSPTRG00000010019.7	XP_029139210.1
OG0001172	ENSPTRG00000023562.6	XP_015679193.1
OG0001173	ENSPTRG00000049032.1	XP_015676741.1
OG0001173	ENSPTRG00000023869.4	XP_015667793.1
OG0001174	ENSPTRG00000005963.3	XP_015678086.1
OG0001174	ENSPTRG00000022282.5	XP_015687944.1
OG0001175	ENSPTRG00000012602.6	XP_015671880.1
OG0001175	ENSPTRG00000014755.3	XP_015688032.1
OG0001176	ENSPTRG00000008942.6	XP_029142735.1
OG0001176	ENSPTRG00000007973.6	XP_029138897.1, XP_029140401.1
OG0001177	ENSPTRG00000002666.6, ENSPTRG00000049683.1, ENSPTRG00000047012.1, ENSPTRG00000045206.1	XP_015682254.1, XP_015682253.1
OG0001178	ENSPTRG00000005423.5	XP_015671275.1
OG0001178	ENSPTRG00000008524.5	XP_015673825.1
OG0001179	ENSPTRG00000014066.6	XP_015682455.1, XP_029142186.1
OG0001180	ENSPTRG00000041105.2, ENSPTRG00000001929.7, ENSPTRG00000041818.2	XP_029140169.1
OG0001181	ENSPTRG00000018524.4	XP_015677059.1
OG0001181	ENSPTRG00000000532.6	XP_015679491.1
OG0001182	ENSPTRG00000039342.2, ENSPTRG00000008674.6	XP_015685460.1
OG0001182	ENSPTRG00000015621.4	XP_015681257.1
OG0001183	ENSPTRG00000010108.6	XP_029140125.1
OG0001183	ENSPTRG00000008087.5	XP_015674454.2
OG0001184	ENSPTRG00000048032.1	XP_029140423.1
OG0001184	ENSPTRG00000048492.1	XP_015677323.1
OG0001185	ENSPTRG00000016598.3	XP_015670376.1
OG0001185	ENSPTRG00000017445.5	XP_015675404.1
OG0001186	ENSPTRG00000013416.7	XP_015672488.1
OG0001186	ENSPTRG00000008379.5	XP_015672263.1
OG0001187	ENSPTRG00000019915.7	XP_015688010.1
OG0001187	ENSPTRG00000004899.6	XP_015670227.1
OG0001188	ENSPTRG00000004543.5	XP_015683296.1
OG0001188	ENSPTRG00000040282.2	XP_015665767.1, XP_015680655.1, XP_015665764.1, XP_015680656.1
OG0001189	ENSPTRG00000008940.4	XP_029142819.1, XP_015682432.1, XP_015682434.1, XP_015684142.1, XP_015680914.1, XP_015680913.1
OG0001190	ENSPTRG00000011632.4, ENSPTRG00000038955.2	XP_015671644.1
OG0001190	ENSPTRG00000052245.1	XP_015687176.2
OG0001191	ENSPTRG00000013473.6, ENSPTRG00000051075.1	XP_015671238.1
OG0001192	ENSPTRG00000008352.6	XP_015671360.2
OG0001192	ENSPTRG00000019038.5	XP_015678689.1
OG0001193	ENSPTRG00000022225.6	XP_015684380.1
OG0001193	ENSPTRG00000017240.3	XP_015679718.1
OG0001194	ENSPTRG00000024318.6	XP_029142309.1
OG0001195	ENSPTRG00000046741.1	XP_029139845.1
OG0001195	ENSPTRG00000016044.4	XP_015678326.1
OG0001196	ENSPTRG00000003373.6	XP_015678192.1
OG0001196	ENSPTRG00000014480.6	XP_015683386.1
OG0001197	ENSPTRG00000017940.5	XP_029140715.1
OG0001198	ENSPTRG00000015661.5	XP_015677893.1
OG0001198	ENSPTRG00000006059.6	XP_015674804.1, XP_015674805.1
OG0001199	ENSPTRG00000002104.6	XP_029140534.1
OG0001199	ENSPTRG00000006338.6	XP_015673265.1
OG0001200	ENSPTRG00000003724.5	XP_015677268.1, XP_015677240.1
